player_name;club;position;height_cm;weight_kg;age;nationality;season;matches_played;matches_started;minutes_played;points_scored;tries;penalties_scored;penalty_attempts;penalty_success_rate;conversion_attempts;conversion_success_rate;balls_kicked;meters_kicked;tackles_broken;passes;carries;meters_carried;line_breaks;offloads;drop_success_rate;turnovers_won;interceptions;tackles_made;tackle_success_rate;penalties_conceded;yellow_cards;orange_cards;red_cards
Peniasi Dakuwaqa;Stade Français;Arrière;186;95;27;Fiji;2024-2025;13;11;927;30;6;0;0;0;0;0;14;308;22;28;66;731;14;9;0;0;0;54;61;7;0;0;0
Samuel Ezeala;Stade Français;Centre;187;99;23;Spain;2023-2024;17;16;1153;45;9;0;0;0;0;0;5;145;24;26;95;924;12;6;0;0;3;61;68;4;0;0;0
Samuel Ezeala;Stade Français;Centre;187;99;24;Spain;2024-2025;22;15;1245;20;4;0;0;0;0;0;13;407;27;28;78;763;9;3;0;0;0;90;66;8;2;0;0
Paul Gabrillagues;Stade Français;2ème ligne;197;106;30;France;2023-2024;21;18;1393;0;0;0;0;0;0;0;0;0;6;60;79;272;1;7;0;2;0;215;89;11;1;0;0
Paul Gabrillagues;Stade Français;2ème ligne;197;106;31;France;2024-2025;25;22;1808;5;1;0;0;0;0;0;0;0;12;77;113;419;0;5;0;1;0;230;87;7;0;0;0
Tanginoa Halaifonua;Stade Français;3ème ligne;196;115;27;Tonga;2023-2024;20;15;1161;0;0;0;0;0;0;0;1;6;14;31;127;620;1;4;0;8;0;147;75;16;1;0;1
Tanginoa Halaifonua;Stade Français;3ème ligne;196;115;28;Tonga;2024-2025;21;19;1394;5;1;0;0;0;0;0;0;0;18;44;157;824;2;11;0;3;0;143;75;16;2;0;0
Lucas Peyresblanques;Stade Français;Talonneur;181;96;25;France;2023-2024;22;7;826;35;7;0;0;0;0;0;2;36;17;25;96;489;3;11;0;7;1;120;82;6;0;0;0
Lucas Peyresblanques;Stade Français;Talonneur;181;96;26;France;2024-2025;24;14;1023;20;4;0;0;0;0;0;2;64;22;38;115;587;3;8;0;4;0;138;79;7;1;0;0
Maxime Machenaud;Aviron Bayonnais;Demi de mêlée;174;87;34;France;2023-2024;22;15;1063;27;3;2;2;100;7;71;101;2780;4;832;46;165;2;6;0;3;0;79;60;7;1;0;0
Maxime Machenaud;Aviron Bayonnais;Demi de mêlée;174;87;35;France;2024-2025;20;11;874;10;2;0;0;0;0;0;61;1356;4;670;46;203;1;11;0;3;0;90;73;8;0;0;0
Joris Segonds;Aviron Bayonnais;Ouvreur;180;89;26;France;2023-2024;23;16;1274;147;1;31;31;70;73;69;187;6650;9;270;88;578;2;8;37;0;0;59;65;3;0;0;0
Joris Segonds;Aviron Bayonnais;Ouvreur;180;89;27;France;2024-2025;28;18;1583;195;1;38;38;74;96;72;213;8482;8;426;69;436;1;6;40;1;0;129;72;4;0;0;0
Tom Spring;Aviron Bayonnais;Arrière;186;87;21;France;2023-2024;17;5;551;10;2;0;0;0;0;0;28;1133;25;28;83;956;9;7;0;0;0;14;52;0;0;0;0
Tom Spring;Aviron Bayonnais;Arrière;186;87;22;France;2024-2025;21;15;1318;20;4;0;0;0;0;0;25;724;42;78;117;1033;12;5;0;0;0;63;60;5;0;0;0
Sireli Maqala;Aviron Bayonnais;Centre;172;88;23;Fiji;2023-2024;7;3;295;5;1;0;0;0;0;0;3;99;9;11;22;228;3;1;0;0;0;23;74;4;1;0;0
Sireli Maqala;Aviron Bayonnais;Centre;172;88;24;Fiji;2024-2025;20;20;1550;55;11;0;0;0;0;0;5;154;77;64;161;1686;21;19;0;13;0;96;65;15;1;0;0
Mateo Carreras;Aviron Bayonnais;Ailier;173;84;23;Spain;2023-2024;8;5;384;5;1;0;0;0;0;0;2;52;18;11;41;370;6;5;0;1;0;30;73;5;0;0;0
Mateo Carreras;Aviron Bayonnais;Ailier;173;84;24;Spain;2024-2025;16;16;1238;15;3;0;0;0;0;0;19;699;78;22;131;1318;13;6;0;2;1;60;62;12;0;0;0
Manu Tuilagi;Aviron Bayonnais;Centre;185;108;32;Great Britain;2023-2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Manu Tuilagi;Aviron Bayonnais;Centre;185;108;33;Great Britain;2024-2025;20;18;1329;5;1;0;0;0;0;0;3;84;33;81;145;1105;7;5;0;0;3;105;71;10;1;0;0
Esteban Capilla;Aviron Bayonnais;3ème ligne;197;99;20;France;2023-2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Esteban Capilla;Aviron Bayonnais;3ème ligne;197;99;21;France;2024-2025;15;12;805;15;3;0;0;0;0;0;2;29;24;53;72;451;3;9;0;1;0;144;80;18;3;0;1
Lucas Paulos;Aviron Bayonnais;2ème ligne;199;123;25;Spain;2023-2024;19;15;1087;15;3;0;0;0;0;0;0;0;6;42;99;442;0;2;0;2;0;147;83;13;0;0;0
Lucas Paulos;Aviron Bayonnais;2ème ligne;199;123;26;Spain;2024-2025;20;14;1014;5;1;0;0;0;0;0;0;0;4;35;67;292;0;2;0;4;1;114;81;19;1;0;0
Jérémy Fernandez;Castres Olympique;Demi de mêlée;176;90;26;France;2023-2024;25;14;998;50;7;3;3;60;10;70;110;3222;32;596;110;581;6;9;0;5;0;63;58;5;1;0;0
Jérémy Fernandez;Castres Olympique;Demi de mêlée;176;90;27;France;2024-2025;23;12;999;143;2;31;31;91;59;86;146;4474;10;510;70;266;0;1;0;1;0;88;68;3;0;0;0
Louis Le Brun;Castres Olympique;Ouvreur;188;100;21;France;2023-2024;21;13;999;118;3;25;25;75;54;72;87;2732;26;167;139;1143;8;19;0;3;0;101;72;6;1;0;0
Louis Le Brun;Castres Olympique;Ouvreur;188;100;22;France;2024-2025;23;19;1437;141;4;23;23;65;71;69;139;4068;36;238;154;1159;3;11;0;9;0;160;76;11;3;0;0
Geoffrey Palis;Castres Olympique;Arrière;188;96;32;France;2023-2024;13;11;851;5;1;0;0;0;0;0;13;426;13;26;53;466;8;3;0;0;0;44;57;3;1;0;0
Geoffrey Palis;Castres Olympique;Arrière;188;96;33;France;2024-2025;21;21;1495;35;6;1;1;100;3;66;55;1954;21;56;126;1156;13;6;0;1;2;87;58;13;3;0;0
Rémy Baget;Castres Olympique;Ailier;182;89;26;France;2023-2024;18;16;1240;25;5;0;0;0;0;0;39;929;29;53;89;700;11;11;0;2;1;55;60;11;0;0;0
Rémy Baget;Castres Olympique;Ailier;182;89;27;France;2024-2025;23;23;1689;35;7;0;0;0;0;0;21;589;26;76;101;977;23;20;0;1;2;76;60;10;1;0;0
Elias Goodhue;Castres Olympique;Centre;188;100;28;New Zealand;2023-2024;7;7;446;10;2;0;0;0;0;0;1;0;8;34;32;279;3;5;0;0;0;39;67;1;0;0;0
Elias Goodhue;Castres Olympique;Centre;188;100;29;New Zealand;2024-2025;21;20;1593;0;0;0;0;0;0;0;3;47;28;120;123;928;8;13;0;3;1;162;70;10;0;0;0
Mathieu Babillot;Castres Olympique;3ème ligne;190;110;30;France;2023-2024;19;16;1207;5;1;0;0;0;0;0;2;26;6;60;75;399;4;12;0;11;0;134;79;17;1;0;0
Mathieu Babillot;Castres Olympique;3ème ligne;190;110;31;France;2024-2025;24;23;1799;15;3;0;0;0;0;0;2;68;17;76;121;531;3;7;0;10;0;210;79;19;0;0;0
Loris Zarantonello;Castres Olympique;Talonneur;183;102;23;France;2023-2024;26;6;860;0;0;0;0;0;0;0;2;38;7;24;112;552;4;7;0;6;1;159;87;12;0;0;0
Loris Zarantonello;Castres Olympique;Talonneur;183;102;24;France;2024-2025;18;3;551;5;1;0;0;0;0;0;0;0;5;13;77;319;1;3;0;3;0;112;82;11;0;0;0
Quentin Walcker;Castres Olympique;Pilier;181;105;27;France;2023-2024;7;5;286;0;0;0;0;0;0;0;0;0;0;8;16;76;0;0;0;2;0;38;78;9;1;0;0
Quentin Walcker;Castres Olympique;Pilier;181;105;28;France;2024-2025;23;19;1156;0;0;0;0;0;0;0;0;0;2;31;79;311;0;1;0;4;0;151;82;32;0;0;0
Léo Coly;Montpellier Hérault Rugby;Demi de mêlée;175;76;24;France;2023-2024;19;9;797;21;0;5;5;83;13;61;105;2785;17;489;75;303;4;9;0;0;1;71;67;5;1;0;0
Léo Coly;Montpellier Hérault Rugby;Demi de mêlée;175;76;25;France;2024-2025;19;11;935;99;3;18;18;69;46;71;141;3491;8;527;67;365;4;8;0;0;1;75;72;2;0;0;0
Auguste Cadot;Montpellier Hérault Rugby;Ouvreur;181;91;22;France;2023-2024;11;8;551;15;3;0;0;0;0;0;4;26;16;39;28;312;4;3;0;1;0;53;79;2;0;0;0
Auguste Cadot;Montpellier Hérault Rugby;Ouvreur;181;91;23;France;2024-2025;20;14;1072;0;0;0;0;0;0;0;7;169;23;56;78;637;6;8;0;1;1;82;75;1;0;0;0
Tyler Duguid;Montpellier Hérault Rugby;2ème ligne;201;124;23;Canada;2023-2024;25;14;1227;5;1;0;0;0;0;0;0;0;5;29;143;616;0;4;0;3;0;209;84;16;2;0;0
Tyler Duguid;Montpellier Hérault Rugby;2ème ligne;201;124;24;Canada;2024-2025;24;18;1456;5;1;0;0;0;0;0;0;0;10;33;166;700;1;8;0;2;0;204;82;14;1;0;0
Madosha Tambwe;Montpellier Hérault Rugby;Ailier;186;92;26;Democratic Republic of the Congo;2023-2024;14;12;945;35;7;0;0;0;0;0;9;328;59;44;112;1405;18;5;0;0;0;47;64;5;1;0;0
Madosha Tambwe;Montpellier Hérault Rugby;Ailier;186;92;27;Democratic Republic of the Congo;2024-2025;12;12;934;15;3;0;0;0;0;0;16;436;27;22;61;580;6;1;0;0;1;44;56;8;2;0;0
Arthur Vincent;Montpellier Hérault Rugby;Centre;182;92;24;France;2023-2024;19;16;1301;15;3;0;0;0;0;0;2;84;21;71;122;971;10;3;0;0;0;96;64;6;0;0;0
Arthur Vincent;Montpellier Hérault Rugby;Centre;182;92;25;France;2024-2025;23;17;1395;20;4;0;0;0;0;0;6;180;23;99;122;839;7;11;0;3;2;188;67;8;0;0;0
Alexandre Bécognée;Montpellier Hérault Rugby;3ème ligne;188;105;26;France;2023-2024;21;13;1040;5;1;0;0;0;0;0;2;59;15;51;143;686;1;2;0;5;0;173;82;13;0;0;0
Alexandre Bécognée;Montpellier Hérault Rugby;3ème ligne;188;105;27;France;2024-2025;23;17;1478;5;1;0;0;0;0;0;2;36;6;56;124;521;1;6;0;12;0;258;85;16;1;0;0
Yacouba Camara;Montpellier Hérault Rugby;3ème ligne;195;112;29;France;2023-2024;19;16;1033;0;0;0;0;0;0;0;0;0;7;51;73;318;2;5;0;6;0;162;86;15;0;0;0
Yacouba Camara;Montpellier Hérault Rugby;3ème ligne;195;112;30;France;2024-2025;23;18;1322;5;1;0;0;0;0;0;0;0;6;71;88;331;1;14;0;9;0;170;85;18;3;0;0
Baptiste Erdocio;Montpellier Hérault Rugby;Pillier;172;115;23;France;2023-2024;26;16;1086;5;1;0;0;0;0;0;0;0;7;46;62;235;1;5;0;8;0;162;84;19;0;0;0
Baptiste Erdocio;Montpellier Hérault Rugby;Pilier;172;115;24;France;2024-2025;20;14;962;5;1;0;0;0;0;0;0;0;4;33;56;221;1;7;0;3;0;130;86;17;2;0;0
Juita Wainiqolo;Lou Rugby;Ailier;187;97;24;Fiji;2023-2024;15;8;754;30;6;0;0;0;0;0;4;98;29;40;51;502;10;8;0;2;1;60;69;3;0;0;0
Juita Wainiqolo;Lou Rugby;Ailier;187;97;25;Fiji;2024-2025;14;13;1042;45;9;0;0;0;0;0;13;422;74;63;92;1267;16;18;0;0;0;47;72;4;0;0;0
Thomas Moukoro;Lou Rugby;Pilier;185;121;21;France;2023-2024;3;2;135;0;0;0;0;0;0;0;0;0;1;10;21;83;0;2;0;0;0;12;75;0;0;0;0
Thomas Moukoro;Lou Rugby;Pilier;185;121;22;France;2024-2025;19;7;693;45;9;0;0;0;0;0;0;0;8;19;71;324;1;4;0;1;0;74;84;8;1;0;0
Samuel Simmonds;Lou Rugby;3ème ligne;184;108;29;Great Britain;2023-2024;20;15;1316;15;3;0;0;0;0;0;1;35;53;72;197;1488;7;10;0;2;0;168;79;3;0;0;0
Samuel Simmonds;Lou Rugby;3ème ligne;184;108;30;Great Britain;2024-2025;17;7;717;10;2;0;0;0;0;0;1;31;21;28;81;600;2;4;0;1;0;95;88;2;0;0;0
